time,lat,lng,weight
2016-04-24-05:17:37.176,0.27793694472222225,0.3769637979782454,-87
2016-04-24-05:20:32.163,0.27793193000000005,0.37696218906374057,-81
2016-04-24-04:56:14.513,0.2779312261111111,0.3769735636585121,-88
2016-04-24-04:30:17.198,0.27794435333333334,0.37696961743026974,-84
2016-04-24-05:20:35.177,0.2779318505555556,0.3769622310387312,-79
2016-04-24-04:35:56.613,0.2779438547222222,0.37696523788938063,-88
2016-04-24-04:38:54.145,0.27794044444444443,0.3769680508929133,-89
2016-04-24-05:17:06.163,0.27793683888888887,0.3769644400081073,-79
2016-04-24-08:29:34.543,0.27793450472222225,0.3769743720945889,-71.00000000000001
2016-04-24-04:35:01.802,0.2779449475,0.3769655072558486,-63
2016-04-24-04:24:34.145,0.2779337025,0.3769711485539242,-76
2016-04-18-06:28:43.520,0.2779214061111111,0.37696191348862346,-88
2016-04-24-04:38:14.146,0.27794066444444443,0.3769667190363015,-127
2016-04-18-06:18:16.424,0.27792661305555555,0.3769732019600639,-127
2016-04-24-04:23:52.132,0.2779333816666667,0.3769725063003993,-81
2016-04-18-06:16:50.152,0.2779240622222222,0.37697230847866536,-70
2016-04-18-04:28:46.255,0.2779241922222222,0.3769719321789491,-127
2016-04-24-04:23:43.576,0.27793340833333335,0.3769728840591712,-77
2016-04-24-05:19:03.166,0.277935245,0.37696188574859446,-80
2016-04-24-04:37:21.169,0.27794166249999996,0.3769646312662519,-127
2016-04-24-04:37:35.193,0.2779413213888889,0.3769650824012848,-127
2016-04-18-06:18:13.352,0.2779264547222222,0.37697324575808805,-83
2016-04-24-04:29:31.299,0.2779423747222222,0.37696902468758137,-74
2016-04-24-05:16:51.162,0.27793676444444443,0.37696474843004163,-85
2016-04-24-04:31:35.136,0.2779459127777778,0.3769696316648363,-84
2016-04-24-04:36:19.677,0.277943005,0.3769647082804627,-80
2016-04-24-05:21:04.182,0.2779305644444444,0.3769621109537388,-127
2016-04-24-04:38:36.163,0.2779407738888889,0.37696743734188914,-76
2016-04-24-04:24:02.580,0.2779334538888889,0.3769721657695295,-79
2016-04-24-04:20:41.901,0.2779368586111111,0.3769768389943507,-81
2016-04-24-04:30:15.161,0.2779441786111111,0.3769695900561007,-84
2016-04-24-07:57:14.036,0.27792226555555555,0.3769615441079809,-70
